,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19641204,0.04,0.24,0.25,0.11,0.24,0.14
19641207,-0.23,0.19,-0.02,0.47,-0.1,0.02
19641208,-0.73,-0.51,-0.66,-0.72,-0.14,-0.34
19641209,-1.06,-1.01,-0.7,-0.64,-0.53,-0.78
19641210,0.1,-0.26,-0.26,-0.15,0.1,-0.12
19641211,0.57,0.22,0.17,0.15,0.2,0.25
19641214,-0.27,-0.24,0,-0.41,-0.31,-0.16
19641215,-0.45,-0.34,-0.57,-0.52,-0.32,-0.16
19641216,0.58,0.25,0.53,0.38,0.44,0.43
19641217,0.39,0.4,0.55,0.46,0.26,0.49
19641218,0.38,0.58,0.5,0.54,0.3,0.66
19641221,0.16,0.08,0.15,0.12,-0.07,0.25
19641222,-0.24,-0.17,0.09,-0.34,-0.04,0.11
19641223,-0.34,-0.16,-0.1,-0.23,-0.02,-0.34
19641224,0.38,0.25,0.32,0.3,-0.03,-0.07
19641228,-0.19,0.06,-0.27,-0.16,0.04,-0.2
19641229,-0.51,-0.36,-0.46,-0.28,-0.4,-0.17
19641230,0.56,0.43,0.33,0.45,0.57,0.7
19641231,0.45,0.26,0.34,0.46,0.4,0.65
19650104,0.23,0.09,0.02,-0.59,-0.3,-0.74
19650105,1.05,0.81,0.77,0.38,0.34,0.68
19650106,0.5,0.7,0.67,0.43,0.12,0.44
19650107,0.69,0.46,0.29,0.36,0.3,0.53
19650108,0.29,0.26,0.12,0.04,0.15,0.26
19650111,0.12,0.28,0.46,0.28,-0.07,0.11
19650112,0.45,0.31,0.95,0.65,0.22,0.22
19650113,0.66,0.52,0.17,0.51,0.2,0.3
19650114,0.08,0.17,0.21,0.13,-0.01,-0.02
19650115,0.31,0.26,0.47,0.55,0.31,0.48
19650118,0.18,0.19,0.27,0.22,0.29,0.39
19650119,-0.16,0.13,-0.01,0.09,0.23,0.13
19650120,0,-0.19,-0.01,0.01,0,0
19650121,-0.12,0.01,0.2,-0.2,-0.24,0.11
19650122,0.34,0.28,0.39,0.13,-0.1,0.6
19650125,0.59,0.5,0.47,0.19,0.05,0.26
19650126,-0.03,0.21,-0.04,-0.01,0,0.31
19650127,0.27,0.15,0.51,0.31,0.11,0.54
19650128,0.1,0.19,0.48,0.61,0.05,0.36
19650129,0.63,0.35,0.28,0.07,0.05,0.27
19650201,0.16,0.07,0.22,0.22,0.04,0.04
19650202,0.06,0.18,0.01,0.1,0.04,0.09
19650203,0.21,0.35,0.26,0.3,0.08,0.17
19650204,0.27,0.15,0.28,-0.54,-0.33,0.42
19650205,0.17,0.09,-0.01,-0.69,-0.18,-0.23
19650208,-0.16,-0.34,-0.17,-0.26,-0.23,-0.38
19650209,0.57,0.51,0.46,0.64,0.11,0.45
