,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20100820,0.07,-0.15,-0.28,-0.27,-0.36,-0.25
20100823,-1.5,-1.24,-1.28,-0.58,-0.46,-0.34
20100824,-1.36,-1.21,-1.41,-1.66,-1.57,-1.29
20100825,1.51,1.36,1.23,0.43,0.38,0.33
20100826,-1.08,-0.64,-0.82,-0.79,-0.76,-0.77
20100827,3.12,2.68,2.47,2.54,1.86,1.38
20100830,-2.52,-2.28,-2.32,-1.73,-1.6,-1.29
20100831,0.02,0.08,-0.38,0.38,0.08,-0.12
20100901,3.75,3.8,3.65,3.23,3.19,2.76
20100902,1.35,0.89,1.41,1.14,1.01,0.83
20100903,1.81,1.61,1.75,1.62,1.27,1.24
20100907,-2.24,-2.02,-2.24,-1.69,-1.33,-0.82
20100908,0.93,0.61,0.66,0.84,0.82,0.47
20100909,0.06,0.13,0.22,0.59,0.52,0.4
20100910,0.28,0.34,0.42,0.31,0.43,0.53
20100913,2.51,2.36,2.39,1.64,1.25,1.03
20100914,-0.41,-0.48,-0.25,-0.2,-0.07,0.07
20100915,0.43,0.36,0.55,0.17,0.33,0.43
20100916,-0.61,-0.71,-0.61,-0.25,-0.31,0.23
20100917,0.61,0.61,0.42,-0.3,0.03,0.3
20100920,2.85,2.64,2.49,1.47,1.69,1.38
20100921,-0.61,-0.65,-0.8,-0.5,-0.28,-0.21
20100922,-1.44,-0.95,-1.01,-0.99,-0.56,-0.23
20100923,-0.96,-1.15,-0.92,-1.01,-0.96,-0.55
20100924,3.35,3.13,2.98,2.74,2.35,1.73
20100927,-0.47,-0.29,-0.32,-0.47,-0.69,-0.31
20100928,1.17,1.02,0.92,0.69,0.5,0.48
20100929,0.46,0.42,0.35,-0.12,-0.26,-0.22
20100930,-0.2,-0.07,-0.13,-0.09,-0.24,-0.36
20101001,0.43,0.42,0.73,0.4,0.52,0.34
20101004,-1.5,-1.59,-1.46,-0.75,-1.02,-0.74
20101005,2.92,2.84,2.74,2.16,2.1,1.96
20101006,-0.48,-0.36,-0.64,-0.48,-0.13,0.09
20101007,-0.12,-0.12,-0.14,-0.25,-0.11,-0.18
20101008,1.66,1.53,1.25,0.84,0.56,0.66
20101011,-0.13,0.1,0.6,0.08,-0.06,0.08
20101012,0.52,0.27,0.37,0.6,0.36,0.33
20101013,1.49,1.55,1.28,0.57,0.8,0.7
20101014,-0.24,-0.15,-0.35,-0.81,-0.49,-0.22
20101015,-0.25,-0.24,0.04,-0.4,0.1,0.5
20101018,0.95,0.96,0.82,0.99,0.7,0.57
20101019,-2.45,-2.28,-2.26,-1.83,-1.61,-1.54
20101020,0.93,1.26,1.22,0.92,1.09,1.02
20101021,-0.71,-0.42,-0.37,-0.2,-0.03,0.38
20101022,0.73,0.73,0.63,0.53,0.33,0.1
20101025,0.55,0.79,0.67,0.46,0.22,0.24
20101026,0.04,-0.24,0.11,-0.32,-0.09,0.22
20101027,-0.07,-0.67,-0.73,-0.16,-0.06,-0.36
20101028,-0.68,-0.21,-0.48,0.13,0.13,0.15
20101029,0.36,0.26,0.57,0.1,-0.07,0.1
20101101,-0.89,-0.47,-0.48,-0.02,-0.02,0.14
20101102,1.81,2.23,1.96,0.86,0.64,0.9
20101103,0.34,0.36,0.5,0.74,0.35,0.24
20101104,2.91,2.57,1.96,2.23,2.07,1.64
20101105,0.67,0.36,0.42,0.69,0.36,0.34
20101108,0.18,0.15,0.39,-0.41,-0.12,-0.13
20101109,-1.63,-1.05,-1.15,-1.39,-0.76,-0.48
20101110,1.26,1.2,1.16,0.99,0.52,0.21
20101111,-0.39,-0.52,-0.37,-0.43,-0.7,-0.09
20101112,-1.8,-1.65,-1.66,-1.48,-1.09,-1.28
20101115,0.18,0.12,0.11,-0.08,-0.2,-0.09
20101116,-2.04,-1.89,-1.7,-1.76,-1.59,-1.42
20101117,0.25,0.24,0.38,-0.18,0.11,0.06
20101118,1.97,1.79,1.77,1.84,1.49,1.54
20101119,0.58,0.27,0.52,0.49,0.2,0.31
20101122,0.37,0.21,0.51,-0.11,-0.23,0.08
20101123,-1.17,-0.84,-0.84,-1.73,-1.49,-1.26
20101124,2.35,2.08,2.05,1.85,1.58,1.42
20101126,-0.55,-0.48,-0.32,-0.83,-0.77,-0.63
20101129,-0.01,-0.03,-0.08,-0.03,-0.08,-0.21
20101130,-0.84,-0.62,-0.85,-0.4,-0.9,-0.41
20101201,2.22,2.22,1.74,2.28,2.22,2.01
20101202,1.26,1.05,1.06,1.68,1.41,1.01
20101203,0.77,0.63,0.85,0.47,0.4,0.21
20101206,0.7,0.6,0.63,-0.02,-0.07,-0.14
20101207,0.33,0.52,0.52,0.23,0.08,0.01
20101208,0.18,-0.09,-0.03,0.79,0.3,0.28
20101209,0.68,0.42,0.42,0.66,0.62,0.13
20101210,1.24,1.1,0.98,0.7,0.74,0.52
20101213,-0.47,-0.59,-0.73,-0.02,0.1,-0.11
20101214,-0.15,0.1,-0.2,-0.53,0.12,0.26
20101215,-0.39,-0.52,-0.41,-0.67,-0.72,-0.29
20101216,1.29,0.85,1.06,0.81,0.71,0.57
20101217,0.43,0.28,0.02,0.43,-0.11,0.17
20101220,0.45,0.17,0.28,0.41,0.34,0.03
20101221,1.37,1.02,0.89,1.04,0.77,0.41
20101222,0.21,-0.01,-0.07,0.32,0.57,0.13
20101223,-0.26,-0.04,-0.15,-0.36,-0.19,-0.05
20101227,0.53,0.31,0.21,0.29,0.11,-0.11
20101228,-0.34,-0.38,-0.48,-0.09,0.12,0.03
20101229,0.23,0.19,0.27,0.14,0.1,0.2
20101230,-0.12,-0.06,0.27,-0.1,-0.18,-0.1
20101231,-0.57,-0.63,-0.72,0.04,-0.06,-0.08
20110103,1.92,1.64,1.62,1.45,1.26,0.92
20110104,-1.47,-1.54,-1.36,-0.14,-0.04,-0.21
20110105,1.38,0.97,1.13,0.95,0.53,0.35
20110106,-0.21,-0.31,-0.41,-0.07,-0.24,-0.11
20110107,-0.68,-0.45,-0.26,-0.19,-0.13,-0.25
20110110,0.66,0.46,0.15,0.08,0.07,-0.21
20110111,0.71,0.39,0.31,0.39,0.56,0.25
20110112,1,0.91,0.73,1.26,0.77,0.83
20110113,-0.23,-0.07,0.07,-0.68,-0.19,0
20110114,1.21,0.79,0.3,0.99,0.85,0.51
20110118,-0.01,0.18,0.04,-0.49,0.35,0.29
20110119,-3,-2.16,-2.2,-1.76,-1.25,-0.71
20110120,-1.48,-1.01,-0.52,-0.35,-0.16,-0.17
20110121,-0.62,-0.6,-0.58,0.3,0.4,-0.03
20110124,1.01,0.68,0.66,0.75,0.45,0.77
20110125,-0.15,0.05,0.11,-0.3,0.01,0.12
20110126,1.84,1.93,1.7,0.79,0.35,0.44
20110127,0.21,0.16,0.34,0.46,0.39,0.06
20110128,-2.7,-2.41,-2.61,-1.88,-1.57,-1.81
20110131,0.82,0.74,0.69,1.18,0.56,0.68
20110201,2.28,2.46,2.23,2.12,1.8,1.55
20110202,-0.37,-0.3,-0.43,-0.13,-0.29,-0.23
20110203,0.27,0.17,0.24,0,0.32,0.26
20110204,0.4,0.08,0.21,0.49,0.22,0.28
20110207,1.13,1.04,0.86,0.89,0.66,0.54
20110208,0.73,0.57,0.78,0.31,0.54,0.45
20110209,-0.67,-0.44,-0.39,-0.55,-0.27,-0.18
20110210,0.58,0.27,0.43,0.19,0.04,0.08
20110211,1.1,1.2,0.88,0.99,0.6,0.46
20110214,0.57,0.5,0.5,0.33,0.43,0.19
20110215,-0.77,-0.63,-0.5,-0.45,-0.22,-0.42
20110216,1.19,0.95,1.04,0.63,0.69,0.59
20110217,0.87,0.71,0.53,0.72,0.32,0.22
20110218,-0.13,0.15,0.07,-0.02,0.26,0.09
20110222,-2.98,-2.53,-2.63,-2.97,-2.09,-1.86
20110223,-1.68,-1.65,-1.93,-0.66,-0.62,-0.67
20110224,0.8,0.5,0.43,0.13,-0.07,-0.01
20110225,2.44,2.16,1.81,1.73,1.15,0.92
20110228,0.1,0.31,-0.23,0.51,0.49,0.47
20110301,-2.01,-1.74,-1.9,-2.05,-1.57,-1.35
20110302,0.64,0.4,0.39,0.13,0.26,0.33
20110303,2.32,2.36,2.03,1.94,1.88,1.57
20110304,-0.56,-0.43,-0.45,-0.82,-0.74,-0.59
20110307,-1.68,-1.55,-1.38,-1.24,-0.8,-0.84
20110308,1.44,1.52,1.54,1.01,0.97,0.81
20110309,-0.61,-0.34,-0.06,-0.4,-0.27,0.05
20110310,-2.91,-2.65,-2.24,-2.29,-1.98,-1.63
20110311,0.57,0.34,0.32,1.08,0.71,0.58
20110314,-0.6,-0.55,-0.39,-0.66,-0.63,-0.54
20110315,-1.03,-0.83,-0.61,-1.35,-1.01,-1.08
20110316,-1.24,-1.08,-1.1,-1.71,-1.77,-1.92
20110317,0.57,0.58,0.26,1.2,1.46,1
20110318,0.93,1.1,1.06,0.45,0.42,0.4
20110321,2.53,2.37,2.01,1.67,1.47,1.49
20110322,-0.42,-0.46,-0.46,-0.44,-0.43,-0.18
20110323,0.5,0.26,0.43,0.21,0.21,0.43
20110324,0.92,0.63,0.66,1.18,0.9,0.94
20110325,0.81,0.79,0.94,0.35,0.29,0.44
20110328,-0.37,-0.47,0,-0.56,-0.39,-0.25
20110329,0.98,0.97,0.77,0.71,0.86,0.61
20110330,1.18,1.22,1.29,0.78,0.8,0.71
20110331,0.39,0.43,0.2,-0.56,-0.11,-0.06
20110401,0.33,0.43,0.61,0.41,0.64,0.44
20110404,0.19,0.42,0.23,-0.11,0.04,0.15
20110405,0.53,0.42,0.53,-0.05,-0.16,0.16
20110406,0.17,0.09,0.14,0.43,0.3,0.12
20110407,-0.44,-0.53,-0.21,-0.31,-0.18,-0.12
20110408,-0.94,-1.03,-0.95,-0.57,-0.32,-0.4
20110411,-1.1,-0.94,-0.74,-0.61,-0.39,-0.15
20110412,-1.74,-1.35,-1.18,-1.05,-0.92,-0.61
20110413,0.24,0.02,0.13,0.13,0.08,0.1
20110414,0.28,0.34,0.1,-0.08,0,-0.02
20110415,0.91,0.94,1,0.52,0.37,0.38
20110418,-1.64,-1.61,-1.4,-1.26,-1.25,-0.95
20110419,0.17,0.3,-0.02,0.37,0.51,0.61
20110420,2.01,1.89,1.72,1.8,1.3,1.38
20110421,0.89,0.82,0.77,0.59,0.3,0.65
20110425,-0.17,-0.29,-0.09,-0.2,-0.08,-0.17
20110426,1.07,1.05,0.58,0.74,1.01,0.82
20110427,0.45,0.62,0.64,0.45,0.78,0.67
20110428,0.14,0.37,0.36,0.43,0.48,0.19
20110429,0.64,0.46,0.27,0.28,0.4,0.18
20110502,-1.36,-1.01,-0.92,-0.6,-0.16,-0.11
20110503,-1.51,-1.45,-1.13,-0.84,-0.59,-0.14
20110504,-1.48,-1.43,-0.83,-0.94,-0.77,-0.55
20110505,-0.49,-0.62,0.03,-0.92,-0.8,-0.89
20110506,0.61,0.57,0.4,0.68,0.45,0.37
20110509,1.16,1.13,1.05,0.4,0.57,0.49
20110510,1.4,1.58,1.51,0.79,0.95,0.69
20110511,-2.11,-1.59,-1.37,-1.41,-1.24,-0.78
20110512,0.78,0.75,0.63,0.34,0.39,0.62
20110513,-1.37,-1.42,-1.29,-1.18,-0.75,-0.77
20110516,-1.82,-1.49,-1.6,-0.84,-0.6,-0.72
20110517,-0.41,-0.53,-0.36,-0.17,0.07,-0.13
20110518,1.75,1.55,1.44,1.2,0.97,0.86
20110519,0.15,0.16,0.36,0.12,0.21,0.25
20110520,-0.68,-0.67,-0.95,-0.56,-0.78,-0.77
20110523,-1.87,-1.78,-1.69,-1.53,-1.28,-1.08
20110524,-0.44,-0.4,-0.42,-0.24,-0.14,-0.07
20110525,1.62,1.28,1,0.51,0.48,0.25
20110526,1.17,1.13,1.09,0.48,0.54,0.39
20110527,0.73,0.69,0.71,0.66,0.45,0.4
20110531,1.51,1.46,1.14,1.01,1.04,1.01
20110601,-3.34,-2.99,-2.99,-2.85,-2.32,-1.99
20110602,0.08,-0.1,-0.3,0.19,0.06,-0.29
20110603,-1.6,-1.62,-1.46,-1.23,-1.05,-1
20110606,-1.73,-1.42,-1.61,-1.81,-1.22,-0.84
20110607,0.33,0.23,0.1,-0.16,0.02,-0.15
20110608,-1.55,-0.9,-1.12,-0.96,-0.4,-0.33
20110609,0.68,0.75,0.98,0.88,0.72,0.71
20110610,-1.42,-1.59,-1.54,-1.31,-1.42,-1.32
20110613,-0.68,-0.17,-0.13,-0.02,0,0.13
20110614,2.25,2.11,2.4,1.23,1.16,1.39
20110615,-1.99,-1.67,-1.76,-2.02,-1.75,-1.6
20110616,-0.1,0.29,0.35,-0.1,0.23,0.16
20110617,-0.11,-0.04,0.09,0.47,0.17,0.31
20110620,0.78,0.97,0.84,0.34,0.55,0.62
20110621,2.46,2.31,2.42,1.79,1.45,1.29
20110622,-0.87,-0.49,-0.77,-0.47,-0.6,-0.72
20110623,0.39,0.04,0.76,-0.13,-0.4,-0.05
20110624,-0.8,-0.58,-0.54,-1.03,-1.36,-1.05
20110627,0.91,0.98,1.02,0.64,0.96,0.92
20110628,1.79,1.67,1.55,1.41,1.26,1.37
20110629,0.33,0.37,0.28,1.27,0.96,0.59
20110630,1.09,1.05,0.99,0.82,1.06,0.97
20110701,1.36,1.48,1.71,1.63,1.54,1.35
20110705,-0.17,0.21,0.1,-0.54,-0.08,0.03
20110706,0.45,0.39,0.33,-0.32,0,0.37
20110707,1.57,1.48,1.65,1.53,0.88,1.11
20110708,-0.81,-0.67,-0.81,-1.13,-0.78,-0.47
20110711,-2.34,-1.95,-2.13,-2.93,-1.96,-1.56
20110712,-0.47,-0.37,-0.41,-0.56,-0.47,-0.42
20110713,1.09,0.83,1.01,0.69,0.34,0.38
20110714,-1.55,-1.52,-1.65,-1.18,-0.84,-0.55
20110715,0.63,0.41,0.61,0.3,0.71,0.57
20110718,-1.7,-1.48,-1.33,-1.5,-1.03,-0.59
20110719,2.1,2.08,2.44,1.76,1.61,1.7
20110720,-0.22,-0.28,-0.17,-0.04,0.1,-0.21
20110721,1.21,1.23,0.85,1.79,1.35,1.16
20110722,0.02,-0.11,0.03,0.32,0.08,0.11
20110725,-1.31,-1.09,-1.21,-0.94,-0.62,-0.51
20110726,-0.82,-0.78,-0.62,-0.36,-0.47,-0.42
20110727,-3.02,-2.71,-2.79,-2.92,-2,-1.95
20110728,-0.28,-0.06,-0.33,-0.22,-0.2,-0.43
20110729,-0.28,-0.48,-0.19,-0.13,-0.61,-0.69
20110801,-0.37,-0.68,-0.49,-0.47,-0.43,-0.32
20110802,-3.26,-2.67,-3.59,-3.07,-2.85,-2.33
20110803,0.63,0.76,1.03,0.59,0.66,0.49
20110804,-6.42,-5.11,-5.87,-6.01,-5.02,-4.66
20110805,-1.95,-1.33,-1.24,-1.47,-0.39,0.2
20110808,-9,-8.25,-8.57,-9.14,-7.09,-6.01
20110809,6.35,6.03,5.76,7.26,5.07,4.19
20110810,-5.47,-5,-4.46,-5.84,-4.26,-3.92
20110811,5.3,5.04,5.15,5.81,4.97,4.25
20110812,-0.08,0.17,0.27,-0.01,0.47,0.75
20110815,3.17,2.79,2.38,3.38,2.25,1.9
20110816,-2.07,-1.69,-1.91,-1.87,-1.11,-0.73
20110817,-0.16,-0.22,-0.33,-0.1,0.03,0.02
20110818,-5.74,-5.38,-5.73,-5.84,-4.79,-4.06
20110819,-1.46,-1.48,-1.5,-2.05,-1.37,-1.56
20110822,-0.32,0.03,0.1,-0.62,-0.05,0.17
20110823,4.56,4.83,4.54,3.85,3.47,3.45
20110824,1.49,1.41,1.23,1.78,1.55,1.08
20110825,-2.4,-2.48,-2.62,-1.71,-1.54,-1.62
20110826,2.3,2.45,2.63,1.82,1.67,1.65
20110829,5.07,4.31,4.57,4.57,3.02,2.57
20110830,0.43,0.38,0.72,0.06,0.36,0.3
20110831,-0.27,-0.2,-0.13,0.83,0.53,0.35
20110901,-2.62,-2.24,-2.33,-2.01,-1.2,-1.08
20110902,-3.56,-3.55,-3.46,-3.41,-2.68,-2.29
20110906,-0.4,-0.43,-0.65,-1.35,-0.68,-0.67
20110907,4.46,3.83,3.88,4.51,3.09,2.56
20110908,-2.11,-1.92,-2.08,-1.77,-1.07,-0.97
20110909,-2.89,-2.9,-2.72,-2.91,-2.63,-2.55
20110912,0.97,0.62,0.45,0.96,0.81,0.56
20110913,1.92,1.7,1.8,1.14,1.21,0.93
20110914,1.82,1.76,1.74,1.46,1.39,1.41
20110915,1.23,1.28,1.19,2.2,1.65,1.58
20110916,-0.09,0.19,0.15,0.32,0.49,0.55
20110919,-1.93,-1.67,-1.33,-2.27,-0.98,-0.58
20110920,-1.72,-1.76,-1.99,-0.89,-0.31,-0.23
20110921,-3.47,-3.51,-3.54,-3.62,-3.05,-2.54
20110922,-3.36,-2.95,-3.15,-4.02,-3.31,-3.14
20110923,1.35,1.56,1.42,1.05,0.76,0.53
20110926,1.79,2.02,2.21,3.72,2.21,2.11
20110927,2.13,2.17,2.09,1.25,1.08,1.15
20110928,-4.14,-3.76,-3.86,-3.09,-2.2,-1.88
20110929,1.66,1.75,1.05,1.65,0.7,0.52
20110930,-2.86,-2.46,-2.91,-3.18,-2.63,-2.24
20111003,-5.57,-4.88,-4.9,-4.2,-3.2,-2.56
20111004,6.32,5.96,6.15,3.67,2.41,2.05
20111005,1.83,1.65,1.59,2.76,2.03,1.69
20111006,2.18,2.24,2.55,2.76,2.07,1.57
20111007,-2.77,-2.25,-2.07,-2.54,-0.94,-0.41
20111010,4.14,3.95,4,4.09,3.53,3.14
20111011,0.67,0.65,0.97,0.42,-0.04,0.13
20111012,1.87,1.6,1.52,1.78,1.12,0.77
20111013,-0.29,-0.14,-0.13,-0.69,-0.27,-0.09
20111014,1.87,1.69,1.96,1.78,1.76,1.63
20111017,-3.57,-3.19,-3.3,-2.74,-2.11,-1.66
20111018,3.46,2.87,2.59,3.55,2.34,1.5
20111019,-2.21,-1.93,-2.1,-1.75,-1.36,-1.19
20111020,0.2,0.28,0.64,1.11,0.56,0.22
20111021,2.17,2.12,1.91,2.12,1.85,1.85
20111024,3.33,3.05,3.35,2.21,1.38,1.31
20111025,-3.19,-3.01,-2.8,-2.86,-2.24,-1.72
20111026,2.13,1.94,1.46,1.81,0.79,1.12
20111027,5.7,4.63,5.01,5.34,3.71,2.8
20111028,-0.54,-0.46,-0.69,0.13,0.06,-0.01
20111031,-2.91,-2.46,-2.36,-3.82,-2.48,-2.22
20111101,-3.83,-3.37,-3.36,-4.07,-2.76,-2.52
20111102,2.73,2.46,2.48,2.35,1.87,1.35
20111103,2.53,2.52,2.53,1.93,2.05,1.81
20111104,-0.58,-0.65,-0.58,-0.67,-0.61,-0.42
20111107,-0.29,0.03,-0.19,0.25,0.57,0.6
20111108,1.34,1.32,1.07,1.36,1.13,1.24
20111109,-5.12,-4.38,-4.43,-4.81,-3.72,-3.44
20111110,0.69,1.11,1.07,0.88,0.93,0.72
20111111,2.4,2.48,2.53,2.05,2.11,1.78
20111114,-1.64,-1.39,-1.22,-1.24,-0.89,-0.78
20111115,1.36,1.28,1.27,0.22,0.5,0.56
20111116,-1.61,-2.12,-1.89,-1.98,-1.65,-1.49
20111117,-1.57,-1.33,-1.57,-2.1,-1.71,-1.54
20111118,-0.06,0.17,0.05,0.04,-0.17,-0.06
20111121,-2.46,-2.3,-2.28,-1.76,-1.91,-1.75
20111122,-0.79,-0.76,-0.92,-0.63,-0.55,-0.24
20111123,-3.24,-2.97,-2.67,-2.84,-2.23,-2.07
20111125,-1.14,-1.21,-1.27,-0.02,-0.23,-0.34
20111128,4.68,4.55,4.53,3.87,3.01,2.8
20111129,-0.37,-0.22,-0.37,-0.27,0.15,0.4
20111130,5.98,5.67,5.19,5.64,4.38,4.03
20111201,-0.86,-0.88,-0.66,-0.64,-0.09,-0.15
20111202,0.84,0.42,0.64,0.41,0.13,-0.17
20111205,1.58,1.5,1.22,1.95,0.94,0.93
20111206,0.02,0.01,-0.08,-0.17,0.14,0.06
20111207,0,0.02,-0.13,0,0.22,0.16
20111208,-3.31,-3.05,-3.02,-3.44,-2.27,-1.78
20111209,3.11,3.2,2.96,2.05,1.86,1.54
20111212,-1.71,-1.46,-1.37,-2.29,-1.5,-1.3
20111213,-2,-1.82,-2.21,-1.51,-1,-0.8
20111214,-1.34,-1.38,-1.58,-1.27,-1.1,-1.22
20111215,0.78,1.18,1.14,0.11,0.42,0.31
20111216,0.52,0.71,0.9,0.44,0.62,0.28
20111219,-2,-1.84,-1.63,-2.23,-1.22,-1.07
20111220,4.19,3.95,3.55,3.73,3.07,2.86
20111221,0.43,0.23,0.33,0.34,0.3,0.03
20111222,1.12,0.66,0.54,1.63,1.01,0.57
20111223,0.17,0.32,0.43,0.61,0.9,0.95
20111227,0.18,0.58,0.5,-0.45,0.08,0.05
20111228,-1.98,-2.07,-2.05,-1.71,-1.33,-1.14
20111229,1.4,1.39,1.32,1.3,1.15,0.99
20111230,-0.32,-0.76,-0.4,-0.42,-0.39,-0.43
20120103,1.85,1.39,1.14,2.08,1.62,1.32
20120104,-0.59,-0.74,-0.55,-0.47,0.13,0.11
20120105,0.75,0.59,0.5,0.74,0.48,0.19
20120106,-0.19,-0.27,-0.36,-0.28,-0.23,-0.17
20120109,0.77,0.36,0.59,0.46,0.3,0.19
20120110,1.63,1.36,1.19,1.89,0.93,0.73
20120111,0.74,0.09,0.21,1.01,0.11,-0.11
20120112,0.73,0.48,0.54,0.44,0.32,0.21
20120113,-1.1,-0.73,-0.51,-1.07,-0.54,-0.36
20120117,-0.04,0.28,0.21,-0.52,0.49,0.49
20120118,2.02,1.7,1.65,1.95,1.13,1
20120119,0.32,0.44,0.53,0.96,0.59,0.39
20120120,0.35,0.39,0.15,0.11,-0.38,0.31
20120123,-0.35,-0.21,-0.03,-0.06,-0.12,0.19
20120124,0.86,0.65,0.34,0.12,-0.05,-0.14
20120125,0.9,0.74,0.98,0.57,0.72,1.13
20120126,-0.55,-0.31,-0.47,-0.82,-0.82,-0.4
20120127,0.84,0.69,0.91,0.44,0.11,-0.29
20120130,-0.93,-0.84,-0.64,-0.71,-0.4,-0.07
20120131,-0.19,0.14,-0.27,-0.06,-0.01,-0.09
20120201,2.26,2.19,2.11,1.69,1.07,0.78
20120202,0.82,0.29,0.27,0.35,0.19,0
20120203,2.39,2.15,2.27,2.6,1.42,1.33
20120206,-0.25,-0.47,-0.37,-0.05,-0.08,0
20120207,-0.17,-0.08,0.03,0.08,0.24,0.2
20120208,0.19,0.25,0.15,0.5,0.31,0.16
20120209,-0.2,-0.42,-0.09,-0.05,0.11,0.33
20120210,-1.46,-1.23,-1.15,-0.97,-0.65,-0.68
20120213,1.41,1.22,1.18,0.85,0.73,0.66
20120214,-0.71,-0.41,-0.4,-0.66,-0.08,0.13
20120215,-0.67,-0.8,-0.67,-0.33,-0.35,-0.63
20120216,1.87,2.11,1.84,1.7,1.11,1.15
20120217,-0.02,-0.14,0.14,0.17,0.18,0.19
20120221,-0.71,-0.51,-0.69,-0.23,-0.01,0.09
20120222,-1,-0.67,-0.74,-0.92,-0.33,-0.25
20120223,1.71,1.18,1.37,0.87,0.57,0.33
20120224,-0.41,-0.31,-0.2,0.18,0.04,0.34
20120227,0.04,-0.07,0.16,0.19,0.13,0.13
20120228,-0.29,-0.35,-0.31,0.06,0.37,0.4
20120229,-1.59,-1.51,-1.51,-0.61,-0.59,-0.34
20120301,0.48,0.43,0.72,0.86,0.72,0.54
20120302,-1.65,-1.58,-1.75,-0.6,-0.5,-0.2
20120305,-0.05,0.13,0.18,-0.53,-0.41,-0.39
20120306,-2.15,-1.91,-1.95,-2.27,-1.64,-1.38
20120307,1.23,1.01,1.16,1.27,0.87,0.59
20120308,1.53,1.29,1.32,1.05,1.17,0.91
20120309,1.34,1.42,1.28,0.69,0.47,0.29
20120312,-0.29,-0.29,-0.34,-0.53,-0.06,0.09
20120313,2.37,2.07,1.81,2.54,1.93,1.62
20120314,-0.88,-0.88,-0.93,-0.84,-0.29,0.04
20120315,1.15,0.9,1.06,1.43,0.69,0.41
20120316,0.11,-0.31,-0.43,0.31,0.15,-0.02
20120319,1.03,0.77,0.65,0.32,0.3,0.44
20120320,-1.05,-0.92,-0.72,-0.19,-0.3,-0.4
20120321,0.12,0.03,0.24,-0.31,-0.06,-0.17
20120322,-1.13,-0.86,-0.72,-1.35,-0.71,-0.59
20120323,0.98,1.05,0.86,0.75,0.41,0.18
20120326,1.74,1.98,2.01,1.44,1.42,1.39
20120327,-0.55,-0.69,-0.89,-0.56,-0.38,-0.1
20120328,-0.28,-0.57,-0.73,-0.52,-0.48,-0.54
20120329,-0.3,-0.23,-0.21,-0.3,-0.29,-0.03
20120330,-0.35,-0.31,-0.3,0.36,0.4,0.3
20120402,0.93,1.24,1.04,0.72,0.55,0.91
20120403,-0.82,-0.52,-0.61,-0.47,-0.26,-0.33
20120404,-1.74,-1.66,-1.54,-1.36,-1.11,-0.93
20120405,-0.17,-0.2,-0.3,-0.39,-0.17,0.19
20120409,-1.78,-1.85,-1.33,-1.63,-1.2,-1.03
20120410,-2.31,-2.17,-2.39,-2.22,-1.84,-1.67
20120411,1.78,1.46,1.7,1.14,0.91,0.6
20120412,1.65,1.56,1.49,2.11,1.46,1.24
20120413,-1.79,-1.49,-1.15,-1.84,-1.35,-1.01
20120416,0.15,0.32,0.03,0.06,0.01,-0.2
20120417,1.67,1.63,1.36,1.62,1.36,1.7
20120418,-1.12,-0.81,-0.8,-0.78,-0.34,-0.33
20120419,-0.45,-0.57,-0.68,-0.36,-0.53,-0.65
20120420,0.46,0.67,0.47,-0.57,0.15,0.18
20120423,-1.34,-1.63,-1.21,-0.85,-0.99,-0.84
20120424,0.87,0.68,0.37,0.62,0.58,-0.06
20120425,1.59,1.66,1.95,1.42,1.17,1.61
20120426,0.81,0.6,0.97,1.21,0.8,0.57
20120427,0.99,0.72,1.11,0.11,0.48,0.18
20120430,-1.01,-1.01,-1.18,-0.53,-0.39,-0.43
20120501,-0.08,-0.32,0.05,0.79,0.56,0.51
20120502,0.34,0.22,0.65,-0.62,-0.29,-0.04
20120503,-1.59,-1.57,-1.34,-1.31,-0.87,-0.74
20120504,-1.87,-1.86,-1.67,-1.72,-1.54,-1.62
20120507,0.38,0.16,0.1,0.41,0.08,-0.07
20120508,-0.35,0.2,-0.14,-0.54,-0.3,-0.51
20120509,-0.45,-0.63,-0.56,-0.74,-0.65,-0.6
20120510,0.43,0.54,0.18,0.25,0.33,0.25
20120511,-0.17,-0.31,-0.23,-0.35,-0.31,-0.29
20120514,-1.27,-1.24,-1.5,-1.56,-1.04,-1.1
20120515,-0.19,-0.1,0.12,-0.89,-0.59,-0.45
20120516,-0.89,-0.62,-0.46,-1.26,-0.32,-0.35
20120517,-2.09,-1.86,-2.39,-1.98,-1.55,-1.49
20120518,-1.04,-0.82,-0.92,-0.95,-0.77,-0.73
20120521,2.32,2.03,2.01,1.97,1.5,1.7
20120522,-0.79,-0.48,-0.92,0.18,0.08,0.08
20120523,0.77,0.53,0.82,0.3,0.18,0.19
20120524,0.09,0.12,0.35,-0.2,0.12,0.26
20120525,-0.1,0.03,0.45,-0.09,-0.09,-0.27
20120529,1.59,1.14,1.21,1.39,1.22,1.02
20120530,-1.97,-1.68,-1.72,-2.17,-1.5,-1.19
20120531,0.03,0.03,-0.03,-0.12,-0.13,-0.37
20120601,-3.19,-2.9,-3.38,-2.87,-2.71,-2.28
20120604,-0.06,0.08,-0.09,-0.64,0.03,0.04
20120605,1.1,0.94,1.03,1.54,0.74,0.36
20120606,2.54,2.48,2.39,2.92,2.32,2.14
20120607,-0.44,-0.49,-0.73,-0.4,-0.01,0
20120608,1.2,0.96,1.09,0.93,0.76,0.86
