,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19271206,0.2,-0.06,0.55,0.15,-0.14,0.09
19271207,-0.99,-0.73,-0.22,-0.42,-0.52,-0.43
19271208,-0.58,-0.42,-0.6,-0.63,-0.78,-1.05
19271209,0.9,1.14,1.32,0.29,1.04,1.42
19271210,0.61,0.5,0.73,-0.02,-0.02,0.03
19271212,0.63,1.35,1.23,1.12,0.46,0.64
19271213,-0.06,0.41,-0.45,0.27,0.47,0.39
19271214,-0.14,-0.54,-0.13,-0.06,-0.3,-0.69
19271215,0.96,0.5,0.7,0.4,0.47,0.61
19271216,0.23,0.53,0.75,0.44,0.57,0.93
19271217,0.41,0.34,-0.25,1.45,-0.2,0.06
19271219,0.15,-0.11,0.56,0.12,0.09,0.49
19271220,-0.23,-0.24,-0.27,-0.53,0.03,0.15
19271221,-0.14,-0.38,-0.09,-0.1,0.01,-0.14
19271222,-0.23,-0.29,-0.72,-0.36,0.05,-0.16
19271223,-0.25,-0.05,0.25,-0.05,0.19,0.25
19271224,-0.03,0.41,0.42,0.07,0.1,0.2
19271227,0.13,0.28,-0.19,-0.41,-0.19,0.43
19271228,-0.57,-0.53,-0.75,-0.28,-0.57,-0.74
19271229,-0.7,0.24,-0.03,-0.12,0.05,0.44
19271230,2.68,0.87,0.6,0.81,0.36,0.3
19271231,1.05,0,0.44,0.45,0.2,0.5
19280103,1.41,0.6,0.82,0.77,0.3,0.4
19280104,0.86,0.57,-0.25,-0.52,-0.16,-0.21
19280105,-1.04,-0.31,-1.04,-0.17,-0.39,-1.32
19280106,1.19,0.6,1.97,0.6,0.45,0.68
19280107,-0.1,0.84,0.02,0.34,0.1,0.16
19280109,-0.51,-0.39,-1.43,-0.82,-0.61,-1.41
19280110,-1.38,-0.8,-1.42,-0.97,-0.54,-1.15
19280111,0.48,0.71,0.52,0.6,0.09,0.11
19280112,1.27,0.47,0.66,0.76,0.2,0.79
19280113,0.5,1,0.11,0.75,0.57,0.71
19280114,-0.56,-0.66,-0.54,-0.34,-0.54,-0.91
19280116,-1.32,-0.95,-1.53,-0.68,-0.72,-1.16
19280117,0.49,0.68,0.94,0.04,0.13,0.28
19280118,-0.68,-0.53,-0.58,-0.79,-0.26,-0.23
19280119,0.9,0.36,0.93,0.11,0.42,0.87
19280120,1.1,0.39,0.65,0.34,0.45,0.78
19280121,0.71,0.49,0.15,0.08,0.01,0.52
19280123,0.53,0.55,1.65,0.08,0.55,0.86
19280124,0.07,0.94,0.44,-0.27,0.3,0.39
19280125,-1.64,-0.93,-1.86,-1.05,-0.9,-1.19
19280126,0.75,1.19,1,0.38,0.55,0.5
19280127,0.38,-0.62,0.36,0.38,0.26,0.34
19280128,-0.21,-0.15,-0.22,-0.31,-0.36,-0.8
19280130,-0.86,-0.56,-0.66,-0.22,-0.34,-0.56
19280131,0.94,0.62,1.32,-0.4,0.27,0.6
19280201,-0.51,-0.21,0.24,-0.51,-0.2,-0.23
19280202,0.97,0.43,0.61,-0.2,0.28,0.87
19280203,-1.41,-1.35,-1.75,-0.93,-0.92,-1.45
19280204,-0.47,-0.3,-0.24,-0.16,0.04,0.27
19280206,0.11,0.56,0.32,0.25,0.08,0.37
19280207,-0.95,-0.82,-0.66,-0.52,-0.33,-0.04
19280208,-0.18,-0.03,0,-0.72,0.01,0.47
19280209,0.47,0.72,0.24,0.77,0.49,0.37
19280210,-0.46,-0.34,-0.71,-0.15,0,-0.1
19280211,0.59,0.74,0.18,-0.64,0.06,-0.03
19280214,0.66,-0.23,0.52,-0.4,-0.29,-0.56
19280215,-0.71,-0.54,-0.65,-0.01,-0.27,-0.19
19280216,-1.1,-0.68,-0.8,-0.45,-0.23,-0.48
19280217,-2.72,-2.04,-2.42,-1.45,-1.34,-2.15
19280218,-0.78,-1.18,-1.17,-0.25,-0.29,-0.65
19280220,0.45,0.3,-0.13,-0.24,-0.04,-0.38
19280221,1.45,1.33,1.72,1.1,0.98,1.21
19280223,0.46,0.66,0.21,0.59,0.15,0.26
19280224,0.06,0.49,0.2,0.83,0.31,0.31
19280225,0.93,-0.05,0.13,0.36,0.08,0.12
19280227,-1.02,-0.14,-0.3,-0.88,-0.36,-0.62
19280228,0.16,0.57,-0.03,0.86,0.27,0.45
19280229,0.7,0.83,0.64,0.6,0.57,0.6
19280301,0.23,0.05,0.4,0.41,0.19,0.36
19280302,-0.4,0.49,-0.29,0.06,0.03,0.2
19280303,0.23,0.15,0.21,-0.12,0.36,1.3
19280305,0.24,0.83,0.63,0.16,0.49,1.33
19280306,0.22,0.32,0.77,-0.21,0.22,1.02
19280307,-0.49,-0.31,0.23,-0.56,-0.37,-0.51
19280308,0.32,0.48,0.23,1.01,0.35,0.33
19280309,0.33,0.54,1.01,0.33,0.78,2.53
19280310,-0.65,-0.76,-0.69,-0.36,-0.22,-0.29
19280312,0.14,0.43,-0.2,0.44,0.39,0.6
19280313,-0.36,-0.56,0.2,-0.04,-0.42,-0.27
19280314,0.25,0.15,0.31,0.71,0.01,0.1
19280315,0.54,0.96,0.49,1,0.45,1.14
19280316,0.95,-0.31,0.58,0.93,0.89,1.3
19280317,0.38,0.41,0,0.08,0.32,-0.03
19280319,1.22,0.98,0.53,0,0.07,0.12
19280320,0.8,0.5,0.5,0.04,0.07,1.16
19280321,0.54,0.75,1.45,0.37,0.65,1.34
19280322,-0.9,-0.36,-0.94,-0.74,-0.4,-0.16
19280323,-0.59,0,0.78,0.23,0.28,1.8
19280324,-0.44,0.17,-0.1,-0.21,-0.07,0.48
19280326,1.04,0.29,0.77,0.44,0.39,2.19
19280327,0.35,-0.41,-0.01,0.23,-0.06,-0.96
19280328,0.8,0.9,0,0.7,0.24,-0.67
19280329,0.56,0.63,0.3,0.22,0.05,0.27
19280330,0.54,1.38,1.83,0.83,0.96,2.61
19280331,-0.36,0.17,-0.39,-0.35,-0.23,-1.21
19280402,0.06,-0.33,-0.15,-0.14,-0.64,-1.52
19280403,0.12,0.46,1.02,0.58,0.5,0.81
19280404,0.01,0.23,0.52,-0.07,-0.07,-0.16
19280405,0.82,0.92,0.91,1.47,0.76,1.64
19280409,0.91,1.13,0.39,0.05,0.49,0.1
19280410,-0.53,-0.27,-0.72,-0.71,-0.62,-1.03
19280411,2.21,1.39,1.37,1.41,1.18,1.81
19280412,0.08,-0.06,0.31,-0.19,-0.41,-0.17
19280413,1.6,1.02,1.1,1.93,0.98,1.91
19280414,-0.09,-0.18,-0.17,-0.46,-0.26,-0.77
19280416,0.47,0.49,-0.17,2.61,0.66,-0.09
19280417,-0.04,-0.54,0.06,-0.72,-0.64,-0.77
19280418,0.49,0.36,0.02,-0.38,0.25,-0.14
19280419,0.92,1.18,1.21,0.6,0.55,0.52
19280420,-1.57,-1,-0.79,-1.18,-1.17,-1.61
19280423,0.03,-0.74,-0.35,-0.66,-0.35,-1.37
19280424,0.32,0.29,0.45,-0.11,0.06,0.9
19280425,1.64,0.71,0.86,1.62,0.99,0.12
19280426,1.2,0.71,0.77,0.4,0.52,0.87
19280427,1.32,0.48,0.98,0.61,0.69,1.74
19280428,0.33,0.43,0.27,0.25,0.86,0.08
19280430,-0.55,0.15,0.22,0.39,0.15,-0.11
19280501,0.24,0.18,0.63,-0.24,0.15,0.56
19280502,0.57,0.26,0.96,-0.81,0.05,0.32
19280503,0.12,0.33,0.83,0.47,0.13,0.81
19280504,0.34,-0.01,1.01,0.54,0.83,2.24
19280507,0.74,0.18,0.69,0.23,0.42,1.16
